OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,PROVINCE,CBS_ID,HLCIT_ID,PCODE
164,Dhangadhimai Nagarpalika,SIRAHA,Dhangadhimai,Nagarpalika,2,20202.0,524 2 16 3 004,NP0216304
165,Golbazar Nagarpalika,SIRAHA,Golbazar,Nagarpalika,2,20203.0,524 2 16 3 003,NP0216303
166,Kalyanpur Nagarpalika,SIRAHA,Kalyanpur,Nagarpalika,2,20206.0,524 2 16 3 006,NP0216306
167,Karjanha Nagarpalika,SIRAHA,Karjanha,Nagarpalika,2,20205.0,524 2 16 3 001,NP0216301
168,Lahan Nagarpalika,SIRAHA,Lahan,Nagarpalika,2,20201.0,524 2 16 3 005,NP0216305
169,Laxmipur Patari Gaunpalika,SIRAHA,Laxmipur Patari,Gaunpalika,2,20211.0,524 2 16 4 006,NP0216406
170,Mirchaiya Nagarpalika,SIRAHA,Mirchaiya,Nagarpalika,2,20204.0,524 2 16 3 002,NP0216302
171,Naraha Gaunpalika,SIRAHA,Naraha,Gaunpalika,2,20207.0,524 2 16 4 001,NP0216401
172,Nawarajpur Gaunpalika,SIRAHA,Nawarajpur,Gaunpalika,2,20214.0,524 2 16 4 007,NP0216407
173,Sakhuwanankarkatti Gaunpalika,SIRAHA,Sakhuwanankarkatti,Gaunpalika,2,20212.0,524 2 16 4 008,NP0216408
174,Siraha Nagarpalika,SIRAHA,Siraha,Nagarpalika,2,20217.0,524 2 16 3 008,NP0216308
175,Sukhipur Nagarpalika,SIRAHA,Sukhipur,Nagarpalika,2,20210.0,524 2 16 3 007,NP0216307
176,Aaurahi Gaunpalika,DHANUSHA,Aaurahi,Gaunpalika,2,20314.0,524 2 17 4 003,NP0217403
177,Bateshwor Gaunpalika,DHANUSHA,Bateshwor,Gaunpalika,2,20304.0,524 2 17 4 001,NP0217401
178,Bideha Nagarpalika,DHANUSHA,Bideha,Nagarpalika,2,20313.0,524 2 17 3 010,NP0217310
179,Chhireshwornath Nagarpalika,DHANUSHA,Chhireshwornath,Nagarpalika,2,20305.0,524 2 17 3 003,NP0217303
180,Dhanauji Gaunpalika,DHANUSHA,Dhanauji,Gaunpalika,2,20316.0,524 2 17 4 004,NP0217404
181,Dhanusadham Nagarpalika,DHANUSHA,Dhanusadham,Nagarpalika,2,20302.0,524 2 17 3 004,NP0217304
182,Ganeshman Charnath Nagarpalika,DHANUSHA,Ganeshman Charnath,Nagarpalika,2,20301.0,524 2 17 3 002,NP0217302
183,Hansapur Nagarpalika,DHANUSHA,Hansapur,Nagarpalika,2,20308.0,524 2 17 3 007,NP0217307
184,Janaknandani Gaunpalika,DHANUSHA,Janaknandani,Gaunpalika,2,20312.0,524 2 17 4 006,NP0217406
185,Janakpur Upamahanagarpalika,DHANUSHA,Janakpur,Upamahanagarpalika,2,20315.0,524 2 17 2 001,NP0217201
186,Kamala Nagarpalika,DHANUSHA,Kamala,Nagarpalika,2,20311.0,524 2 17 3 011,NP0217311
187,Lakshminiya Gaunpalika,DHANUSHA,Lakshminiya,Gaunpalika,2,20306.0,524 2 17 4 002,NP0217402
188,Mithila Nagarpalika,DHANUSHA,Mithila,Nagarpalika,2,20303.0,524 2 17 3 001,NP0217301
189,Mithila Bihari Nagarpalika,DHANUSHA,Mithila Bihari,Nagarpalika,2,20307.0,524 2 17 3 005,NP0217305
190,Mukhiyapatti Musarmiya Gaunpalika,DHANUSHA,Mukhiyapatti Musarmiya,Gaunpalika,2,20318.0,524 2 17 4 005,NP0217405
191,Nagarain Nagarpalika,DHANUSHA,Nagarain,Nagarpalika,2,20317.0,524 2 17 3 009,NP0217309
192,Sabaila Nagarpalika,DHANUSHA,Sabaila,Nagarpalika,2,20309.0,524 2 17 3 006,NP0217306
193,Sahidnagar Nagarpalika,DHANUSHA,Sahidnagar,Nagarpalika,2,20310.0,524 2 17 3 008,NP0217308
194,Aurahi Nagarpalika,MAHOTTARI,Aurahi,Nagarpalika,2,20404.0,524 2 18 3 003,NP0218303
195,Balwa Nagarpalika,MAHOTTARI,Balwa,Nagarpalika,2,20407.0,524 2 18 3 007,NP0218307
196,Bardibas Nagarpalika,MAHOTTARI,Bardibas,Nagarpalika,2,20401.0,524 2 18 3 001,NP0218301
197,Bhangaha Nagarpalika,MAHOTTARI,Bhangaha,Nagarpalika,2,20405.0,524 2 18 3 004,NP0218304
198,Ekdanra Gaunpalika,MAHOTTARI,Ekdanra,Gaunpalika,2,20411.0,524 2 18 4 003,NP0218403
199,Gaushala Nagarpalika,MAHOTTARI,Gaushala,Nagarpalika,2,20402.0,524 2 18 3 002,NP0218302
200,Jaleswor Nagarpalika,MAHOTTARI,Jaleswor,Nagarpalika,2,20415.0,524 2 18 3 009,NP0218309
201,Loharpatti Nagarpalika,MAHOTTARI,Loharpatti,Nagarpalika,2,20406.0,524 2 18 3 008,NP0218308
202,Mahottari Gaunpalika,MAHOTTARI,Mahottari,Gaunpalika,2,20412.0,524 2 18 4 004,NP0218404
203,Manra Siswa Nagarpalika,MAHOTTARI,Manra Siswa,Nagarpalika,2,20410.0,524 2 18 3 006,NP0218306
204,Matihani Nagarpalika,MAHOTTARI,Matihani,Nagarpalika,2,20414.0,524 2 18 3 010,NP0218310
205,Pipra Gaunpalika,MAHOTTARI,Pipra,Gaunpalika,2,20413.0,524 2 18 4 005,NP0218405
206,Ramgopalpur Nagarpalika,MAHOTTARI,Ramgopalpur,Nagarpalika,2,20408.0,524 2 18 3 005,NP0218305
207,Samsi Gaunpalika,MAHOTTARI,Samsi,Gaunpalika,2,20409.0,524 2 18 4 002,NP0218402
208,Sonama Gaunpalika,MAHOTTARI,Sonama,Gaunpalika,2,20403.0,524 2 18 4 001,NP0218401
209,Bagmati Nagarpalika,SARLAHI,Bagmati,Nagarpalika,2,20503.0,524 2 19 3 001,NP0219301
210,Balara Nagarpalika,SARLAHI,Balara,Nagarpalika,2,20516.0,524 2 19 3 011,NP0219311
211,Barahathawa Nagarpalika,SARLAHI,Barahathawa,Nagarpalika,2,20504.0,524 2 19 3 004,NP0219304
212,Basbariya Gaunpalika,SARLAHI,Basbariya,Gaunpalika,2,20513.0,524 2 19 4 001,NP0219401
213,Bishnu Gaunpalika,SARLAHI,Bishnu,Gaunpalika,2,20518.0,524 2 19 4 008,NP0219408
214,Bramhapuri Gaunpalika,SARLAHI,Bramhapuri,Gaunpalika,2,20509.0,524 2 19 4 007,NP0219407
215,Chakraghatta Gaunpalika,SARLAHI,Chakraghatta,Gaunpalika,2,20512.0,524 2 19 4 004,NP0219404
216,Chandranagar Gaunpalika,SARLAHI,Chandranagar,Gaunpalika,2,20510.0,524 2 19 4 002,NP0219402
217,Dhankaul Gaunpalika,SARLAHI,Dhankaul,Gaunpalika,2,20514.0,524 2 19 4 003,NP0219403
218,Godaita Nagarpalika,SARLAHI,Godaita,Nagarpalika,2,20517.0,524 2 19 3 008,NP0219308
219,Haripur Nagarpalika,SARLAHI,Haripur,Nagarpalika,2,20505.0,524 2 19 3 005,NP0219305
220,Haripurwa Nagarpalika,SARLAHI,Haripurwa,Nagarpalika,2,20507.0,524 2 19 3 010,NP0219310
221,Hariwan Nagarpalika,SARLAHI,Hariwan,Nagarpalika,2,20502.0,524 2 19 3 002,NP0219302
