OBJECTID,PALIKA,DISTRICT,GAPA_NAPA,GN_TYPE,PROVINCE_CODE,PROVINCE_NAME,HLCIT_DISTRICT_CODE,CBS_DISTRICT_CODE,DISTRICT_PCODE,CBS_LU_CODE,HLCIT_LU_CODE,LU_PCODE
45,Budhiganga Gaunpalika,Morang,Budhiganga,Gaunpalika,1,1,524105,112,NP0105,11213,524 1 05 4 004,NP0105404
46,Dhanpalthan Gaunpalika,Morang,Dhanpalthan,Gaunpalika,1,1,524105,112,NP0105,11216,524 1 05 4 008,NP0105408
47,Gramthan Gaunpalika,Morang,Gramthan,Gaunpalika,1,1,524105,112,NP0105,11212,524 1 05 4 005,NP0105405
48,Jahada Gaunpalika,Morang,Jahada,Gaunpalika,1,1,524105,112,NP0105,11217,524 1 05 4 007,NP0105407
49,Kanepokhari Gaunpalika,Morang,Kanepokhari,Gaunpalika,1,1,524105,112,NP0105,11206,524 1 05 4 003,NP0105403
50,Katahari Gaunpalika,Morang,Katahari,Gaunpalika,1,1,524105,112,NP0105,11215,524 1 05 4 006,NP0105406
51,Kerabari Gaunpalika,Morang,Kerabari,Gaunpalika,1,1,524105,112,NP0105,11203,524 1 05 4 001,NP0105401
52,Letang Nagarpalika,Morang,Letang,Nagarpalika,1,1,524105,112,NP0105,11202,524 1 05 3 001,NP0105301
53,Miklajung Gaunpalika,Morang,Miklajung,Gaunpalika,1,1,524105,112,NP0105,11201,524 1 05 4 002,NP0105402
54,Patahrishanishchare Nagarpalika,Morang,Patahrishanishchare,Nagarpalika,1,1,524105,112,NP0105,11207,524 1 05 3 004,NP0105304
55,Rangeli Nagarpalika,Morang,Rangeli,Nagarpalika,1,1,524105,112,NP0105,11211,524 1 05 3 006,NP0105306
56,Ratuwamai Nagarpalika,Morang,Ratuwamai,Nagarpalika,1,1,524105,112,NP0105,11209,524 1 05 3 008,NP0105308
57,Sundarharaicha Nagarpalika,Morang,Sundarharaicha,Nagarpalika,1,1,524105,112,NP0105,11204,524 1 05 3 002,NP0105302
58,Sunwarshi Nagarpalika,Morang,Sunwarshi,Nagarpalika,1,1,524105,112,NP0105,11210,524 1 05 3 007,NP0105307
59,Uralabari Nagarpalika,Morang,Uralabari,Nagarpalika,1,1,524105,112,NP0105,11208,524 1 05 3 005,NP0105305
60,Barah Nagarpalika,Sunsari,Barah,Nagarpalika,1,1,524106,113,NP0106,11302,524 1 06 3 001,NP0106301
61,Barju Gaunpalika,Sunsari,Barju,Gaunpalika,1,1,524106,113,NP0106,11312,524 1 06 4 006,NP0106406
62,Bhokraha Narsingh Gaunpalika,Sunsari,Bhokraha Narsingh,Gaunpalika,1,1,524106,113,NP0106,11304,524 1 06 4 002,NP0106402
63,Dewanganj Gaunpalika,Sunsari,Dewanganj,Gaunpalika,1,1,524106,113,NP0106,11311,524 1 06 4 005,NP0106405
64,Dharan Upamahanagarpalika,Sunsari,Dharan,Upamahanagarpalika,1,1,524106,113,NP0106,11301,524 1 06 2 001,NP0106201
65,Duhabi Nagarpalika,Sunsari,Duhabi,Nagarpalika,1,1,524106,113,NP0106,11307,524 1 06 3 004,NP0106304
66,Gadhi Gaunpalika,Sunsari,Gadhi,Gaunpalika,1,1,524106,113,NP0106,11308,524 1 06 4 003,NP0106403
67,Harinagar Gaunpalika,Sunsari,Harinagar,Gaunpalika,1,1,524106,113,NP0106,11310,524 1 06 4 004,NP0106404
68,Inaruwa Nagarpalika,Sunsari,Inaruwa,Nagarpalika,1,1,524106,113,NP0106,11309,524 1 06 3 003,NP0106303
69,Itahari Upamahanagarpalika,Sunsari,Itahari,Upamahanagarpalika,1,1,524106,113,NP0106,11306,524 1 06 2 002,NP0106202
70,Koshi Gaunpalika,Sunsari,Koshi,Gaunpalika,1,1,524106,113,NP0106,11303,524 1 06 4 001,NP0106401
71,Ramdhuni Nagarpalika,Sunsari,Ramdhuni,Nagarpalika,1,1,524106,113,NP0106,11305,524 1 06 3 002,NP0106302
72,Koshi Tappu Wildlife Reserve,Sunsari,Koshi Tappu Wildlife Reserve,Wildlife Reserve,1,1,524106,,NP0106,,524 1 06 5 995,NP0106595
73,Chaubise Gaunpalika,Dhankuta,Chaubise,Gaunpalika,1,1,524107,107,NP0107,10707,524 1 07 4 004,NP0107404
74,Chhathar Jorpati Gaunpalika,Dhankuta,Chhathar Jorpati,Gaunpalika,1,1,524107,107,NP0107,10703,524 1 07 4 002,NP0107402
75,Dhankuta Nagarpalika,Dhankuta,Dhankuta,Nagarpalika,1,1,524107,107,NP0107,10704,524 1 07 3 003,NP0107303
76,Shahidbhumi Gaunpalika,Dhankuta,Shahidbhumi,Gaunpalika,1,1,524107,107,NP0107,10705,524 1 07 4 001,NP0107401
